"LastName"	"FirstName"	"Gender"	"PositionTitle"	"Compensation"	"MaxTerm"	"StartDate"	"Name"	"Zip"	"Website"	"TypeControl"	"Teaching"	"DonorType"	"NoFTE"	"NetPatRev"	"InOperExp"	"OutOperExp"	"OperRev"	"OperInc"	"AvlBeds"
"49"	"Rodriguez"	"Jose"	"M"	"Safety Inspection Member"	23987	2	2011-01-01	"Catalina Island Medical Center"	"90704"	"www.catalinaislandmedicalcenter.org"	"Non Profit"	"Small/Rural"	"Charity"	55	14172.24044	1436470.704	3989894.296	5235317	-191048	12
"50"	"Tanner"	"Patricia"	"F"	"Regional Representative"	46978	4	2010-01-01	"Southern Inyo Hospital"	"93545-1009"	"www.sihd.org"	"District"	"Small/Rural"	"Charity"	121	17566.92896	2890228.445	4578887.555	6677960	-791156	37
"51"	"Marlin"	"Bill"	"M"	"State Board Representative"	89473	3	2010-01-01	"Fairchild Medical Center"	"96097-3450"	"www.fairchildmed.org"	"Non Profit"	"Small/Rural"	"Charity"	250	108162.9126	14859739.23	23623658.77	40140721	1657323	25
"52"	"Adams"	"Sandy"	"F"	"Regional Representative"	46978	4	2008-01-01	"Healdsburg District Hospital"	"95448-3382"	"www.nschd.org"	"District"	"Small/Rural"	"Charity"	150	64759.03825	10963429.49	14259517.51	23993709	-1229238	38
"53"	"Adamson"	"David"	"M"	"Safety Inspection Member"	23987	2	2012-01-01	"Glenn Medical Center"	"95988-2745"	"www.glennmed.org"	"Non Profit"	"Small/Rural"	"Charity"	100	29712.3306	2076879.134	9501694.866	11932140	353566	15
"54"	"Web"	"David"	"M"	"State Board Representative"	89473	3	2011-01-01	"Mountains Community Hospital"	"92352"	"www.mchcares.com"	"District"	"Small/Rural"	"Charity"	158	30786.19672	5733926.902	10727445.1	11947133	-4514239	35
"55"	"Web"	"David"	"M"	"Safety Inspection Member"	23987	2	2012-01-01	"Mammoth Hospital"	"93546-0660"	"www.mammothhospital.com"	"District"	"Small/Rural"	"Charity"	327	135520.2186	20523425.53	34916220.47	49933713	-5505933	15
"56"	"Rodriguez"	"Jose"	"M"	"Regional Representative"	46978	4	2011-01-01	"Eastern Plumas Hospital - Portola Campus"	"96122-9406"	"www.ephc.org"	"District"	"Small/Rural"	"Charity"	219	52983.85792	8074272.754	12996071.25	19484351	-1585993	76
"57"	"Tanner"	"Patricia"	"F"	"Acting Director"	248904	8	2011-01-01	"Coalinga Regional Medical Center"	"93210"	"www.coalingamedicalcenter.com"	"District"	"Small/Rural"	"Charity"	160	65792.42623	15341310.03	7916539.968	24164520	906670	131
"58"	"Paanua"	"Kaaluai"	"M"	"Regional Representative"	46978	4	2011-01-01	"Barton Memorial Hospital"	"96150"	"www.bartonhealth.org"	"Non Profit"	"Small/Rural"	"Charity"	750	335179.5574	53589036.09	67030147.91	126303054	5683870	119
"59"	"Milgrom"	"Patricia"	"F"	"Regional Representative"	46978	4	2009-01-01	"Modoc Medical Center"	"96101"	"www.modocmedicalcenter.com"	"City/County"	"Small/Rural"	"Charity"	170	26260.51366	4705385.115	8679873.885	9821366	-3563893	87
"60"	"Holmes"	"Holly"	"F"	"Acting Director"	248904	8	2010-01-01	"Palm Drive Hospital"	"95472"	"www.palmdrivehospital.com"	"District"	"Small/Rural"	"Charity"	191	61816.75956	13613286.65	14261284.35	22745333	-5129238	28
"61"	"Smith"	"Frank"	"M"	"Regional Representative"	46978	4	2010-01-01	"Tahoe Forest Hospital District"	"96161"	"www.tfhd.com"	"District"	"Small/Rural"	"Charity"	374.32	209348.9426	34782311	48159490	83034898	93097	62
"62"	"Roberts"	"Melissa"	"F"	"Safety Inspection Member"	23987	2	2009-01-01	"Ridgecrest Regional Hospital"	"93555"	"www.rrh.org"	"Non Profit"	"Small/Rural"	"Charity"	400	139170.3798	23385570.1	24661355.9	51087341	3040415	55
